date,rainfall_mm,station,sta. ID,elevation (m),lat,long
4/9/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/10/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/11/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/12/2000,9,Cikao,32140303a,36,-6.5113,107.40296
4/13/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/14/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/15/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/16/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/17/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/18/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/19/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/20/2000,6,Cikao,32140303a,36,-6.5113,107.40296
4/21/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/22/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/23/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/24/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/25/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/26/2000,2,Cikao,32140303a,36,-6.5113,107.40296
4/27/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/28/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/29/2000,0,Cikao,32140303a,36,-6.5113,107.40296
4/30/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/1/2000,13,Cikao,32140303a,36,-6.5113,107.40296
5/2/2000,61,Cikao,32140303a,36,-6.5113,107.40296
5/3/2000,10,Cikao,32140303a,36,-6.5113,107.40296
5/4/2000,6,Cikao,32140303a,36,-6.5113,107.40296
5/5/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/6/2000,2,Cikao,32140303a,36,-6.5113,107.40296
5/7/2000,39,Cikao,32140303a,36,-6.5113,107.40296
5/8/2000,12,Cikao,32140303a,36,-6.5113,107.40296
5/9/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/10/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/11/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/12/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/13/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/14/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/15/2000,3,Cikao,32140303a,36,-6.5113,107.40296
5/16/2000,40,Cikao,32140303a,36,-6.5113,107.40296
5/17/2000,6,Cikao,32140303a,36,-6.5113,107.40296
5/18/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/19/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/20/2000,3,Cikao,32140303a,36,-6.5113,107.40296
5/21/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/22/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/23/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/24/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/25/2000,4,Cikao,32140303a,36,-6.5113,107.40296
5/26/2000,2,Cikao,32140303a,36,-6.5113,107.40296
5/27/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/28/2000,8,Cikao,32140303a,36,-6.5113,107.40296
5/29/2000,0,Cikao,32140303a,36,-6.5113,107.40296
5/30/2000,12,Cikao,32140303a,36,-6.5113,107.40296
5/31/2000,6,Cikao,32140303a,36,-6.5113,107.40296
6/1/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/2/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/3/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/4/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/5/2000,6,Cikao,32140303a,36,-6.5113,107.40296
6/6/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/7/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/8/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/9/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/10/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/11/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/12/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/13/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/14/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/15/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/16/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/17/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/18/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/19/2000,2,Cikao,32140303a,36,-6.5113,107.40296
6/20/2000,1,Cikao,32140303a,36,-6.5113,107.40296
6/21/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/22/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/23/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/24/2000,3,Cikao,32140303a,36,-6.5113,107.40296
6/25/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/26/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/27/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/28/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/29/2000,0,Cikao,32140303a,36,-6.5113,107.40296
6/30/2000,0,Cikao,32140303a,36,-6.5113,107.40296
7/1/2000,0,Cikao,32140303a,36,-6.5113,107.40296
7/2/2000,0,Cikao,32140303a,36,-6.5113,107.40296
7/3/2000,31,Cikao,32140303a,36,-6.5113,107.40296
7/4/2000,0,Cikao,32140303a,36,-6.5113,107.40296
7/5/2000,40,Cikao,32140303a,36,-6.5113,107.40296
7/6/2000,0,Cikao,32140303a,36,-6.5113,107.40296
7/7/2000,13,Cikao,32140303a,36,-6.5113,107.40296
7/8/2000,0,Cikao,32140303a,36,-6.5113,107.40296
7/9/2000,0,Cikao,32140303a,36,-6.5113,107.40296
7/10/2000,0,Cikao,32140303a,36,-6.5113,107.40296
7/11/2000,0,Cikao,32140303a,36,-6.5113,107.40296
7/12/2000,0,Cikao,32140303a,36,-6.5113,107.40296
7/13/2000,0,Cikao,32140303a,36,-6.5113,107.40296
7/14/2000,0,Cikao,32140303a,36,-6.5113,107.40296
7/15/2000,0,Cikao,32140303a,36,-6.5113,107.40296
7/16/2000,0,Cikao,32140303a,36,-6.5113,107.40296
